server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
south-central,93.2,133.82333333333335,tcp1c,64531,1112,1151.0845015975285,1175.6771103914189,1281.8679756847293,1269.6159654578028,1274.344299491355,1213.0205921728275
south-central,93.2,133.82333333333335,tcp1c,64539,1112,1166.940233355994,1206.9160685336449,1352.259682484229,1340.4101300237546,1343.5451353746862,1323.0092626506357
west-central,85.3,127.40333333333334,tcp1c,64537,903,1171.3530537668303,1197.9461959268376,1299.0624657659885,1274.9310811070993,1288.6793789996054,1239.0663259965613
west-central,85.3,127.40333333333334,tcp1c,64538,903,861.5715928880646,881.5979004592704,1258.516276310215,1234.1111342241177,1239.8776606257943,844.0135963668758
east,87.5,141.90333333333334,tcp8,64545,871,1824.8574660880893,1843.2710812396876,2004.0332875285867,1983.9476648894447,1989.998358893417,1904.8267963922751
east,87.5,141.90333333333334,tcp8,64546,871,1841.6881403572,1888.1465428228985,2042.4102684020584,2033.0946308115308,2037.1562424629883,2022.888298949697
east,87.5,141.90333333333334,tcp8,64547,871,1927.1234508842097,1940.8143365338988,2041.7520154768306,2035.5124864631096,2037.3346362300201,2014.8349280634534
east,87.5,141.90333333333334,tcp8,64550,871,1915.8648073064182,1930.1034433686925,2034.6761438336332,2030.660682039942,2032.2760710254242,1970.2286703261257
east2,43.3,124.83548387096774,tcp8,64552,962,1874.7252880672602,1918.9516777431352,2051.383179198162,2034.3986679538527,2034.6454544937674,2023.878418218983
east2,43.3,124.83548387096774,tcp8,64553,962,1912.8377236367467,1932.507399646268,2037.26862493273,2033.5057481325996,2034.9574225266465,2003.0773512925496
east2,43.3,124.83548387096774,tcp8,64554,962,1932.5587773169418,1944.2917314729034,2036.8252288728079,2025.6765482266364,2030.039135911401,2008.1325146013253
east2,43.3,124.83548387096774,tcp8,64555,962,1924.3975010646782,1943.5075971079239,2058.4510816797274,2041.104031908058,2048.658104096137,2001.3683295252818
west,90.9,132.22000000000003,tcp8,64556,1583,1770.263903767748,1798.209878729202,2005.0041961750442,1977.6985971145932,1984.403409104746,1901.5631411163515
west,90.9,132.22000000000003,tcp8,64559,1583,1904.8143708612795,1931.1324231894178,2081.0748191562034,2033.4507740657482,2034.6569072882025,2029.2871102124136
west,90.9,132.22000000000003,tcp8,64560,1583,1894.0633332292696,1912.5403361133017,2060.9677512486087,2035.0913340660104,2046.6299541984718,1965.0508146438947
west,90.9,132.22000000000003,tcp8,64561,1583,1809.9120997937482,1862.1783092236647,2036.2680800812802,2034.2119576513028,2034.5852825992756,2017.6960483055
west2,58.4,119.10999999999999,tcp8,64562,1278,1816.6011506733153,1871.042450784051,2096.8692078969534,2032.5944738751198,2040.1483068254565,2025.7354301272358
west2,58.4,119.10999999999999,tcp8,64563,1278,1846.7424626823888,1884.9703510722295,2039.9802099289625,2028.3551731699963,2034.7942905346476,1955.7904220414366
west2,58.4,119.10999999999999,tcp8,64564,1278,1861.4255179541465,1890.2710818717865,2037.23226641684,2006.4645541008194,2013.7418515767372,1971.2734289525793
west2,58.4,119.10999999999999,tcp8,64565,1278,1895.516521117338,1923.96940480021,2042.9754891726463,2032.4456667174368,2034.0932338012854,2026.4563841876961
central,24.7,105.14333333333333,tcp8,64566,234,1956.7935810691188,1969.0605070541778,2051.8961235951165,2037.0710366077935,2038.8151739744947,2026.674562777088
central,24.7,105.14333333333333,tcp8,64567,234,1780.7917667783502,1839.9222784079882,2037.6662348073655,2029.0724665390221,2033.022339309101,1961.7090040261764
central,24.7,105.14333333333333,tcp8,64568,234,1902.1277537279607,1910.6463476843815,2030.720549604371,2018.017980284243,2023.803184084908,1972.0914983254338
central,24.7,105.14333333333333,tcp8,64570,234,1924.5369334488146,1937.608443843167,2061.590068433888,2035.4279054804445,2054.485041515921,1994.9718768094003
west-central,85.3,127.40333333333334,tcp8,64571,903,1520.5159619642784,1585.1039902291957,2055.179728606425,1991.958092501182,2001.4951212354395,1811.1973082779616
west-central,85.3,127.40333333333334,tcp8,64572,903,1877.7537247954738,1906.296347488899,2035.0901765486071,2029.9384524939767,2032.31372584778,1980.227840580008
west-central,85.3,127.40333333333334,tcp8,64573,903,1885.7451691253248,1907.8247611740337,2033.8935825788167,2030.0834640779365,2030.9635521929163,1985.8350501091732
west-central,85.3,127.40333333333334,tcp8,64576,903,1913.2132772219534,1923.6738297489565,2048.858457128793,2032.492241252828,2035.044480413247,2012.735136181479
north-central,19.9,71.53666666666666,tcp8,64577,352,1946.2942616826797,1960.2577034012595,2033.6994437557819,2019.105775722622,2022.120636457369,1998.8536102314956
north-central,19.9,71.53666666666666,tcp8,64578,352,1854.4799076619452,1869.092143559553,2012.2557486561993,1982.2013609553144,1986.5697889130247,1936.8679525590605
north-central,19.9,71.53666666666666,tcp8,64579,352,1851.021904243051,1878.820619333939,2029.5332870123564,2013.4929876937251,2026.7903084763198,1942.4324819071578
north-central,19.9,71.53666666666666,tcp8,64580,352,1776.5970519858126,1793.4591070200615,1975.2418481936297,1969.2461562024469,1972.146387914619,1825.5018675888969
south-central,93.2,133.82333333333335,tcp8,64581,1112,1868.9905751304327,1895.9376778875635,2024.7677988295993,2021.5745508298571,2023.3987249199208,1937.672606811578
south-central,93.2,133.82333333333335,tcp8,64582,1112,1854.678161329993,1881.5246353265748,2032.0768236200008,2018.1998832423963,2020.0903082803657,1962.1711256300814
south-central,93.2,133.82333333333335,tcp8,64583,1112,1833.1566572195622,1833.624347286805,2018.2019168711615,1999.9425441617939,2009.1103794294054,1908.5844722708403
south-central,93.2,133.82333333333335,tcp8,64585,1112,1712.3557466843095,1759.0156493756429,1990.2653561469906,1958.9446662305036,1974.5924989572468,1860.2750242330178
east,87.5,141.90333333333334,tcp8,60262,871,1753.71989228456,1800.5943064856622,1907.9038423236088,1896.4630553293955,1898.2026352510647,1881.7063990754887
east,87.5,141.90333333333334,tcp1d,60263,871,452.2359217586093,467.6521350659364,519.6154283023458,516.6829571352189,518.7208784519825,508.0216971380198
east,87.5,141.90333333333334,tcp8,60265,871,1759.0969436770529,1805.434919492921,1920.5305027812076,1909.1263578432731,1912.626400951296,1890.5823994104148
east,87.5,141.90333333333334,tcp1d,60266,871,491.7327131939944,504.1384282341721,549.2495502860799,546.6361923653222,547.3500275854564,537.797192956306
east,87.5,141.90333333333334,tcp1c,60267,871,1180.3311014319381,1225.1584761473614,1434.7741049608949,1416.5159394380591,1430.5923267903645,1387.1845941487804
